condition,value,unit,detector,n_initial_matches,n_inliers,inlier_ratio,mean_reproj_error,total_s
scale,0.5,x,SIFT,376,189,0.5026595744680851,0.2100650817155838,0.05040679103694856
scale,0.5,x,ORB,276,155,0.5615942028985508,0.9206621646881104,0.023892000084742904
scale,0.75,x,SIFT,552,287,0.519927536231884,0.18806332349777222,0.07394570799078792
scale,0.75,x,ORB,401,191,0.4763092269326683,1.0195808410644531,0.028244083048775792
scale,1.0,x,SIFT,866,615,0.710161662817552,0.06510644406080246,0.0723390830680728
scale,1.0,x,ORB,644,410,0.6366459627329193,0.48526155948638916,0.029351750039495528
scale,1.5,x,SIFT,798,546,0.6842105263157895,0.10618658363819122,0.07072550000157207
scale,1.5,x,ORB,609,404,0.6633825944170771,0.43870505690574646,0.03075695806182921
