condition,pair,detector,n_initial_matches,n_inliers,inlier_ratio,mean_reproj_error,total_s,overlap_ssim
viewpoint,front-oblique,SIFT,558,276,0.4946236559139785,1.9572407007217407,0.07186937506776303,0.6898301741407746
viewpoint,front-oblique,ORB,467,304,0.6509635974304069,1.4344350099563599,0.0291295419447124,0.7420053094604074
viewpoint,front-side,SIFT,600,226,0.37666666666666665,2.321942090988159,0.16282391699496657,0.5885230277275402
viewpoint,front-side,ORB,392,255,0.6505102040816326,1.5417821407318115,0.09841045900247991,0.5681140394620802
